Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 21.85      3.93     3.93                             _init
 13.45      6.35     2.42   540912     0.00     0.00  AntT::isAllowed(Position const&, Position const&)
  7.12      7.63     1.28 1328440405     0.00     0.00  std::operator-(std::_Bit_iterator_base const&, std::_Bit_iterator_base const&)
  6.70      8.84     1.21 1992691135     0.00     0.00  std::vector<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > >::size() const
  6.67     10.04     1.20 1328440425     0.00     0.00  std::vector<bool, std::allocator<bool> >::end() const
  4.98     10.93     0.90 1328440405     0.00     0.00  std::vector<bool, std::allocator<bool> >::size() const
  4.36     11.72     0.79 1328440445     0.00     0.00  std::_Bit_const_iterator::_Bit_const_iterator(unsigned long*, unsigned int)
  4.23     12.48     0.76 1328440385     0.00     0.00  std::vector<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > >::operator[](unsigned long)
  3.95     13.19     0.71 2656881015     0.00     0.00  std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int)
  3.70     13.85     0.67 1328440425     0.00     0.00  std::_Bit_const_iterator::_Bit_const_iterator(std::_Bit_iterator const&)
  3.45     14.47     0.62 664209539     0.00     0.00  std::vector<bool, std::allocator<bool> >::operator[](unsigned long)
  3.11     15.03     0.56 1328440425     0.00     0.00  std::vector<bool, std::allocator<bool> >::begin() const
  3.11     15.59     0.56      497     0.00     0.00  std::_Bit_reference::operator=(bool)
  2.53     16.05     0.46 664210339     0.00     0.00  std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long)
  2.00     16.41     0.36      420     0.00     0.00  std::operator!=(std::_Bit_iterator_base const&, std::_Bit_iterator_base const&)
  1.92     16.75     0.35 664209842     0.00     0.00  std::_Bit_reference::operator bool() const
  1.61     17.04     0.29      110     0.00     0.00  std::vector<Position, std::allocator<Position> >::_M_erase_at_end(Position*)
  1.39     17.29     0.25       21     0.01     0.01  std::operator+(std::_Bit_iterator const&, long)
  1.20     17.51     0.22      110     0.00     0.00  std::vector<Position, std::allocator<Position> >::clear()
  1.00     17.69     0.18   147967     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.97     17.86     0.18   343034     0.00     0.00  double const& std::max<double>(double const&, double const&)
  0.61     17.97     0.11        1     0.11     0.11  std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >::end()
  0.06     17.98     0.01    11270     0.00     0.00  double* std::__uninitialized_default_n_a<double*, unsigned long, double>(double*, unsigned long, std::allocator<double>&)
  0.03     17.99     0.01  3319030     0.00     0.00  std::vector<double, std::allocator<double> >::size() const
  0.03     17.99     0.01   312526     0.00     0.00  std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::operator[](unsigned long)
  0.00     17.99     0.00  2588678     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
  0.00     17.99     0.00  1551430     0.00     0.00  std::vector<Position, std::allocator<Position> >::size() const
