N_Value,"main.cpp (A=1, I=2)","mainMPI.cpp (A=1, I=2)","main.cpp (A=2, I=4)","mainMPI.cpp (A=2, I=4)","main.cpp (A=5, I=10)","mainMPI.cpp (A=5, I=10)","main.cpp (A=10, I=20)","mainMPI.cpp (A=10, I=20)"
1,2.909525,8.416525,5.200725,4.398282,0.000127,0.000224,0.000257,0.000399
2,0.001936,0.002067,0.007743,0.003669,0.048387,0.017955,0.202833,0.056889
3,0.007578,0.007324,0.030551,0.014755,0.211501,0.073794,0.926947,0.263494
4,0.022675,0.019484,0.091972,0.041842,0.544826,0.216282,1.522500,0.678144
5,0.033892,0.050348,0.264512,0.142007,1.165288,0.444804,3.111907,1.364517
6,0.069880,0.129146,0.515836,0.241368,1.378335,0.876843,4.819380,1.872720
7,0.098687,0.177893,0.584696,0.524107,2.365618,1.264995,8.043677,3.175158
8,0.117439,0.197194,0.618500,0.598079,3.800749,1.885410,14.238900,5.577856
9,0.534771,0.576236,1.450520,1.262430,5.267450,2.960480,20.227000,8.812650
10,0.514770,0.645691,1.490360,1.232988,7.970238,4.100774,27.740700,12.228870
11,0.903212,1.190104,2.319967,1.506247,10.006157,4.887590,37.927956,16.315067
12,0.529042,0.576100,2.455874,1.681839,14.199371,6.118113,47.569843,18.615729
13,1.073848,1.177230,3.083873,2.129275,18.578050,7.865870,62.552300,27.930575
14,1.283875,1.387690,3.545407,2.043605,22.532418,10.350618,72.890736,31.443973
