N_Value,"main.cpp (A=1, I=2)","mainMPI.cpp (A=1, I=2)","main.cpp (A=2, I=4)","mainMPI.cpp (A=2, I=4)","main.cpp (A=5, I=10)","mainMPI.cpp (A=5, I=10)","main.cpp (A=10, I=20)","mainMPI.cpp (A=10, I=20)"
1,1.948075,1.792000,2.942850,2.786475,6.423475,5.007350,0.000129,0.000117
2,0.000763,0.000876,0.002875,0.001615,0.016884,0.009151,0.066321,0.025652
3,0.003114,0.003121,0.011496,0.007797,0.070203,0.032612,0.282285,0.100693
4,0.008184,0.008221,0.030162,0.017368,0.186227,0.085500,0.731020,0.266598
5,0.020127,0.019394,0.088557,0.055276,0.495840,0.216103,2.063443,0.800885
6,0.050615,0.055926,0.163874,0.105519,0.872906,0.389060,3.375080,1.305805
7,0.069770,0.076462,0.276673,0.210238,1.577833,0.796370,5.639637,2.334743
8,0.082065,0.094320,0.362553,0.241721,2.533993,1.308573,10.051740,4.153294
9,0.363894,0.416587,1.008610,0.690497,3.731190,2.126590,14.153500,6.200730
10,0.361824,0.405998,1.046561,0.749917,5.566260,3.188491,19.529870,8.261028
11,0.635446,0.722470,1.406019,0.930527,6.758010,3.565863,26.598344,11.496111
12,0.373504,0.419418,1.722557,1.206080,9.912573,4.413284,33.031400,13.008514
13,0.740551,0.851132,2.126953,1.559855,11.880750,5.753815,43.641200,19.042825
14,0.898791,1.032903,2.512668,1.551224,15.768264,7.836030,50.809836,22.526127
