N_Value,"main.cpp (A=1, I=2)","MPI_OpenMP.cpp (A=1, I=2)","main.cpp (A=2, I=4)","MPI_OpenMP.cpp (A=2, I=4)","main.cpp (A=5, I=10)","MPI_OpenMP.cpp (A=5, I=10)","main.cpp (A=10, I=20)","MPI_OpenMP.cpp (A=10, I=20)"
1,1.894100,0.002116,2.841000,0.010748,6.345800,0.005564,0.000125,0.006226
2,0.000752,0.001308,0.002711,0.002784,0.016313,0.009096,0.066236,0.033104
3,0.002951,0.027076,0.011474,0.006988,0.070372,0.031753,0.281040,0.139583
4,0.007409,0.009162,0.029188,0.019106,0.182048,0.086268,0.726643,0.316674
5,0.018212,0.022758,0.089113,0.050007,0.491731,0.222940,2.034487,0.890941
6,0.048891,0.048698,0.158723,0.095850,0.868017,0.403692,3.339065,1.440220
7,0.068544,0.068104,0.273516,0.186024,1.569467,0.736641,5.597663,2.509120
8,0.082015,0.081110,0.354483,0.214356,2.573196,1.266926,10.003137,4.355301
9,0.387968,0.358395,1.061300,0.592673,3.738950,1.990640,14.070000,6.359980
10,0.359422,0.354872,1.046477,0.653644,5.586579,2.854272,19.589800,8.676068
11,0.628728,0.609096,1.400033,0.808814,6.811622,3.342308,26.974978,12.324667
12,0.371253,0.358304,1.713987,1.050350,10.311120,4.763416,33.433914,14.556943
13,0.758303,0.731575,2.163605,1.356167,12.068400,5.749327,43.961925,20.406075
14,0.899235,0.876417,2.494230,1.331598,15.821818,8.205665,50.982491,24.316000
