Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 28.84      2.24     2.24   565728     0.00     0.01  AntT::isAllowed(Position const&, Position const&)
 24.59      4.15     1.91                             _init
 17.96      5.55     1.40 2067131921     0.00     0.00  std::vector<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > >::size() const
 12.81      6.54     1.00 1378064717     0.00     0.00  std::vector<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > >::operator[](unsigned long)
  6.82      7.07     0.53 1378064737     0.00     0.00  std::vector<char, std::allocator<char> >::size() const
  4.31      7.41     0.34 689023665     0.00     0.00  std::vector<char, std::allocator<char> >::operator[](unsigned long)
  2.90      7.63     0.23      110     2.05     2.05  std::vector<Position, std::allocator<Position> >::clear()
  1.80      7.77     0.14        1   140.03   140.03  std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >::end()
  0.00      7.77     0.00  3439545     0.00     0.00  std::vector<double, std::allocator<double> >::size() const
  0.00      7.77     0.00  2681762     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
  0.00      7.77     0.00  1608133     0.00     0.00  std::vector<Position, std::allocator<Position> >::size() const
  0.00      7.77     0.00   954687     0.00     0.00  std::vector<Position, std::allocator<Position> >::operator[](unsigned long)
  0.00      7.77     0.00   732368     0.00     0.00  operator new(unsigned long, void*)
  0.00      7.77     0.00   578129     0.00     0.00  Position::Position(int, int)
  0.00      7.77     0.00   411169     0.00     0.00  void std::__relocate_object_a<Position, Position, std::allocator<Position> >(Position*, Position*, std::allocator<Position>&)
  0.00      7.77     0.00   358393     0.00     0.00  double const& std::max<double>(double const&, double const&)
  0.00      7.77     0.00   323342     0.00     0.00  std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::size() const
  0.00      7.77     0.00   323320     0.00     0.00  std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::operator[](unsigned long)
  0.00      7.77     0.00   320856     0.00     0.00  GraphT::distance(Position const&, Position const&)
  0.00      7.77     0.00   309069     0.00     0.00  std::vector<Position, std::allocator<Position> >::push_back(Position const&)
  0.00      7.77     0.00   154413     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      7.77     0.00   142628     0.00     0.00  std::_Vector_base<Position, std::allocator<Position> >::_M_get_Tp_allocator() const
  0.00      7.77     0.00   142609     0.00     0.00  std::vector<Position, std::allocator<Position> >::_S_max_size(std::allocator<Position> const&)
  0.00      7.77     0.00   142608     0.00     0.00  std::vector<Position, std::allocator<Position> >::max_size() const
  0.00      7.77     0.00    83278     0.00     0.00  std::_Vector_base<Position, std::allocator<Position> >::_M_get_Tp_allocator()
  0.00      7.77     0.00    83095     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      7.77     0.00    71750     0.00     0.00  std::vector<Position, std::allocator<Position> >::end()
  0.00      7.77     0.00    71350     0.00     0.00  std::_Vector_base<Position, std::allocator<Position> >::_M_deallocate(Position*, unsigned long)
  0.00      7.77     0.00    71325     0.00     0.00  std::_Vector_base<Position, std::allocator<Position> >::_M_allocate(unsigned long)
  0.00      7.77     0.00    71325     0.00     0.00  std::__new_allocator<Position>::deallocate(Position*, unsigned long)
  0.00      7.77     0.00    71325     0.00     0.00  std::__new_allocator<Position>::allocate(unsigned long, void const*)
  0.00      7.77     0.00    71304     0.00     0.00  std::vector<Position, std::allocator<Position> >::_M_check_len(unsigned long, char const*) const
  0.00      7.77     0.00    71304     0.00     0.00  std::vector<Position, std::allocator<Position> >::_S_relocate(Position*, Position*, Position*, std::allocator<Position>&)
  0.00      7.77     0.00    71304     0.00     0.00  std::vector<Position, std::allocator<Position> >::_Guard_alloc::_Guard_alloc(Position*, unsigned long, std::_Vector_base<Position, std::allocator<Position> >&)
  0.00      7.77     0.00    71304     0.00     0.00  std::vector<Position, std::allocator<Position> >::_Guard_alloc::~_Guard_alloc()
  0.00      7.77     0.00    71304     0.00     0.00  std::vector<Position, std::allocator<Position> >::begin()
  0.00      7.77     0.00    71304     0.00     0.00  Position* std::__relocate_a<Position*, Position*, std::allocator<Position> >(Position*, Position*, Position*, std::allocator<Position>&)
  0.00      7.77     0.00    71304     0.00     0.00  Position* std::__relocate_a_1<Position*, Position*, std::allocator<Position> >(Position*, Position*, Position*, std::allocator<Position>&)
  0.00      7.77     0.00    71283     0.00     0.00  void std::vector<Position, std::allocator<Position> >::_M_realloc_append<Position const&>(Position const&)
  0.00      7.77     0.00    35404     0.00     0.00  std::__new_allocator<double>::~__new_allocator()
  0.00      7.77     0.00    23616     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator()
  0.00      7.77     0.00    23572     0.00     0.00  std::uniform_real_distribution<double>::param_type::a() const
  0.00      7.77     0.00    23572     0.00     0.00  std::vector<Position, std::allocator<Position> >::operator[](unsigned long) const
  0.00      7.77     0.00    23572     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::min()
  0.00      7.77     0.00    23572     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::operator()()
  0.00      7.77     0.00    23572     0.00     0.00  std::log(long double)
  0.00      7.77     0.00    12252     0.00     0.00  std::vector<Position, std::allocator<Position> >::end() const
  0.00      7.77     0.00    12252     0.00     0.00  std::vector<Position, std::allocator<Position> >::begin() const
  0.00      7.77     0.00    12232     0.00     0.00  std::vector<Position, std::allocator<Position> >::empty() const
  0.00      7.77     0.00    12009     0.00     0.00  Position::operator==(Position const&) const
  0.00      7.77     0.00    11953     0.00     0.00  void std::_Destroy<Position*>(Position*, Position*)
  0.00      7.77     0.00    11875     0.00     0.00  std::__new_allocator<Position>::~__new_allocator()
  0.00      7.77     0.00    11853     0.00     0.00  std::_Vector_base<Position, std::allocator<Position> >::_Vector_impl::~_Vector_impl()
  0.00      7.77     0.00    11853     0.00     0.00  std::_Vector_base<Position, std::allocator<Position> >::~_Vector_base()
  0.00      7.77     0.00    11853     0.00     0.00  std::vector<Position, std::allocator<Position> >::~vector()
  0.00      7.77     0.00    11828     0.00     0.00  std::_Vector_base<Position, std::allocator<Position> >::_Vector_impl_data::_Vector_impl_data()
  0.00      7.77     0.00    11808     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_allocate(unsigned long)
  0.00      7.77     0.00    11808     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::_Vector_impl(std::allocator<double> const&)
  0.00      7.77     0.00    11808     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::~_Vector_impl()
  0.00      7.77     0.00    11808     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_deallocate(double*, unsigned long)
  0.00      7.77     0.00    11808     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_create_storage(unsigned long)
  0.00      7.77     0.00    11808     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl_data::_Vector_impl_data()
  0.00      7.77     0.00    11808     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_base(unsigned long, std::allocator<double> const&)
  0.00      7.77     0.00    11808     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::~_Vector_base()
