index,n,p,solutionCost,timeTaken(s)
0,1,0.13,0,.002256
1,1,0.12,0,.002309
2,1,0.43,0,.002414
3,1,0.08,0,.002240
4,2,0.1,1.41421,.013720
5,2,0.21,1.41421,.015098
6,2,0.26,1.41421,.017920
7,2,0.39,1.41421,.015437
8,3,0.06,2.82843,.056180
9,4,0.09,4.24264,.119308
10,4,0.3,4.24264,.118168
11,5,0.48,5.65685,.312929
12,5,0.1,5.65685,.331711
13,5,0.44,5.65685,.330837
14,6,0.05,7.07107,.551361
15,6,0.18,7.07107,.528379
16,7,0.47,8.48528,.857798
17,7,0.13,8.48528,.921130
18,7,0,8.48528,.865049
19,7,0.31,8.48528,.938545
20,7,0.01,8.48528,.896868
21,7,0.41,8.48528,.945924
22,8,0.42,9.89949,1.497135
23,8,0.34,9.89949,1.564201
24,8,0.3,9.89949,1.446818
25,8,0.07,9.89949,1.489051
26,8,0.05,9.89949,1.524340
27,8,0.16,9.89949,1.664704
28,8,0.37,9.89949,1.442991
29,9,0.26,11.3137,2.449978
30,10,0.3,12.7279,2.975867
31,10,0,12.7279,2.806035
32,10,0.33,12.7279,3.096396
33,10,0.37,12.7279,3.045440
34,10,0.08,12.7279,2.943049
35,10,0.27,12.7279,3.255714
36,10,0.13,12.7279,2.890048
37,10,0.32,12.7279,3.109154
38,10,0.23,12.7279,3.017113
39,10,0.29,12.7279,3.092021
40,11,0.36,14.1421,3.493789
41,11,0.34,14.1421,4.131435
42,11,0.36,14.1421,3.985396
43,11,0.03,14.1421,3.990087
44,11,0.15,14.1421,3.844144
45,11,0.29,14.1421,4.026799
46,11,0.07,14.1421,4.436353
47,11,0.28,14.1421,3.880614
48,11,0.14,14.1421,3.966280
49,12,0.42,15.5563,5.502365
50,12,0.11,15.5563,4.991215
51,12,0.48,15.6964,5.376099
52,12,0.23,15.5563,5.222305
53,12,0.14,15.5563,5.352517
54,12,0.36,15.5563,5.438384
55,12,0.24,15.6964,5.592218
56,13,0.12,16.9706,7.309656
57,13,0.42,16.9706,6.780768
58,13,0.14,16.9706,6.644741
59,13,0.19,16.9706,6.416088
60,14,0.38,18.3848,8.114560
61,14,0.47,18.3848,8.193703
62,14,0.32,18.3848,7.581617
63,14,0.29,18.3848,8.423906
64,14,0.39,18.3848,8.011263
65,14,0.43,18.3848,7.735423
66,14,0.19,18.3848,9.095812
67,14,0.37,18.3848,7.789500
68,14,0.39,18.3848,8.014567
69,14,0.33,18.3848,8.845270
70,14,0.16,18.3848,9.086526
71,15,0.41,19.799,10.098903
72,15,0.03,19.799,8.263736
73,15,0.35,19.799,9.930820
74,16,0.34,21.2132,12.127564
75,16,0.12,21.2132,12.528947
76,16,0.48,21.2132,11.148033
77,16,0.46,21.2132,12.442597
78,17,0.47,22.6274,13.676274
79,17,0.37,22.6274,13.780105
80,18,0.39,24.0416,16.254838
81,18,0.23,24.0416,16.705643
82,18,0.45,24.1817,17.009939
83,18,0.17,24.1817,16.697193
84,18,0.47,24.1817,15.432667
85,18,0.47,24.1817,17.081517
86,18,0.41,24.0416,16.241358
87,19,0.07,25.4558,32.013104
88,19,0.2,25.5959,37.438230
89,19,0.03,25.4558,36.173092
90,19,0.35,25.4558,36.224304
91,20,0.5,26.8701,40.588163
92,20,0.2,27.0101,40.557227
93,20,0.36,27.0101,42.249312
94,20,0.32,26.8701,44.367348
