Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 33.12      1.98     1.98   289056     0.01     0.01  AntT::isAllowed(Position const&, Position const&)
 25.25      3.49     1.51                             _init
 15.22      4.40     0.91 1737914251     0.00     0.00  std::vector<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > >::size() const
 10.95      5.06     0.66 1158598008     0.00     0.00  std::vector<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > >::operator[](unsigned long)
  8.28      5.55     0.50 1158598168     0.00     0.00  std::vector<char, std::allocator<char> >::size() const
  4.01      5.79     0.24 579294076     0.00     0.00  std::vector<char, std::allocator<char> >::operator[](unsigned long)
  2.68      5.95     0.16       20     8.00     8.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::mersenne_twister_engine(unsigned long)
  0.42      5.98     0.03  2930475     0.00     0.00  std::vector<double, std::allocator<double> >::size() const
  0.08      5.98     0.01  2286493     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
  0.00      5.98     0.00  1245518     0.00     0.00  std::vector<Position, std::allocator<Position> >::size() const
  0.00      5.98     0.00   791618     0.00     0.00  std::vector<Position, std::allocator<Position> >::operator[](unsigned long)
  0.00      5.98     0.00   616245     0.00     0.00  operator new(unsigned long, void*)
  0.00      5.98     0.00   351045     0.00     0.00  void std::__relocate_object_a<Position, Position, std::allocator<Position> >(Position*, Position*, std::allocator<Position>&)
  0.00      5.98     0.00   295693     0.00     0.00  Position::Position(int, int)
  0.00      5.98     0.00   267106     0.00     0.00  std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::size() const
  0.00      5.98     0.00   267084     0.00     0.00  std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::operator[](unsigned long)
  0.00      5.98     0.00   264494     0.00     0.00  GraphT::distance(Position const&, Position const&)
  0.00      5.98     0.00   258471     0.00     0.00  std::vector<Position, std::allocator<Position> >::push_back(Position const&)
  0.00      5.98     0.00   252342     0.00     0.00  double const& std::max<double>(double const&, double const&)
  0.00      5.98     0.00    94226     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      5.98     0.00    82564     0.00     0.00  std::_Vector_base<Position, std::allocator<Position> >::_M_get_Tp_allocator() const
  0.00      5.98     0.00    82545     0.00     0.00  std::vector<Position, std::allocator<Position> >::_S_max_size(std::allocator<Position> const&)
  0.00      5.98     0.00    82544     0.00     0.00  std::vector<Position, std::allocator<Position> >::max_size() const
  0.00      5.98     0.00    47482     0.00     0.00  std::_Vector_base<Position, std::allocator<Position> >::_M_get_Tp_allocator()
  0.00      5.98     0.00    47419     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      5.98     0.00    41708     0.00     0.00  std::vector<Position, std::allocator<Position> >::end()
  0.00      5.98     0.00    41318     0.00     0.00  std::_Vector_base<Position, std::allocator<Position> >::_M_deallocate(Position*, unsigned long)
  0.00      5.98     0.00    41293     0.00     0.00  std::_Vector_base<Position, std::allocator<Position> >::_M_allocate(unsigned long)
  0.00      5.98     0.00    41293     0.00     0.00  std::__new_allocator<Position>::deallocate(Position*, unsigned long)
  0.00      5.98     0.00    41293     0.00     0.00  std::__new_allocator<Position>::allocate(unsigned long, void const*)
  0.00      5.98     0.00    41272     0.00     0.00  std::vector<Position, std::allocator<Position> >::_M_check_len(unsigned long, char const*) const
  0.00      5.98     0.00    41272     0.00     0.00  std::vector<Position, std::allocator<Position> >::_S_relocate(Position*, Position*, Position*, std::allocator<Position>&)
  0.00      5.98     0.00    41272     0.00     0.00  std::vector<Position, std::allocator<Position> >::_Guard_alloc::_Guard_alloc(Position*, unsigned long, std::_Vector_base<Position, std::allocator<Position> >&)
  0.00      5.98     0.00    41272     0.00     0.00  std::vector<Position, std::allocator<Position> >::_Guard_alloc::~_Guard_alloc()
