Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
 37.51      0.03     0.03     9600     3.13     5.21  AntT::isAllowed(Position const&, Position const&)
 37.51      0.06     0.03                             _init
 18.75      0.08     0.02 20394021     0.00     0.00  std::vector<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > >::size() const
  6.25      0.08     0.01 13596016     0.00     0.00  std::vector<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > >::operator[](unsigned long)
  0.00      0.08     0.00 13596064     0.00     0.00  std::vector<char, std::allocator<char> >::size() const
  0.00      0.08     0.00  6798000     0.00     0.00  std::vector<char, std::allocator<char> >::operator[](unsigned long)
  0.00      0.08     0.00    38863     0.00     0.00  std::vector<double, std::allocator<double> >::size() const
  0.00      0.08     0.00    29638     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
  0.00      0.08     0.00    18977     0.00     0.00  std::vector<Position, std::allocator<Position> >::size() const
  0.00      0.08     0.00    10241     0.00     0.00  Position::Position(int, int)
  0.00      0.08     0.00    10083     0.00     0.00  std::vector<Position, std::allocator<Position> >::operator[](unsigned long)
  0.00      0.08     0.00     6783     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.08     0.00     3445     0.00     0.00  std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::size() const
  0.00      0.08     0.00     3439     0.00     0.00  std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::operator[](unsigned long)
  0.00      0.08     0.00     3422     0.00     0.00  GraphT::distance(Position const&, Position const&)
  0.00      0.08     0.00     3221     0.00     0.00  std::vector<Position, std::allocator<Position> >::push_back(Position const&)
  0.00      0.08     0.00     3031     0.00     0.00  void std::__relocate_object_a<Position, Position, std::allocator<Position> >(Position*, Position*, std::allocator<Position>&)
  0.00      0.08     0.00     3000     0.00     0.00  double const& std::max<double>(double const&, double const&)
  0.00      0.08     0.00     2847     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.08     0.00     2128     0.00     0.00  std::_Vector_base<Position, std::allocator<Position> >::_M_get_Tp_allocator() const
  0.00      0.08     0.00     2125     0.00     0.00  std::vector<Position, std::allocator<Position> >::_S_max_size(std::allocator<Position> const&)
  0.00      0.08     0.00     2124     0.00     0.00  std::vector<Position, std::allocator<Position> >::max_size() const
  0.00      0.08     0.00     1554     0.00     0.00  std::_Vector_base<Position, std::allocator<Position> >::_M_get_Tp_allocator()
  0.00      0.08     0.00     1546     0.00     0.00  std::vector<Position, std::allocator<Position> >::end()
  0.00      0.08     0.00     1280     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.08     0.00     1118     0.00     0.00  std::_Vector_base<Position, std::allocator<Position> >::_M_deallocate(Position*, unsigned long)
